"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Nr okręgu";"Liczba komisji";"Liczba uwzględnionych komisji";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"W tym umieszczonych w części A spisu wyborców";"W tym umieszczonych w części B spisu wyborców";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym";"W tym w części A spisu wyborców";"W tym w części B spisu wyborców";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOMITET WYBORCZY NORMALNY KRAJ";"KOMITET WYBORCZY POLEXIT";"KOMITET WYBORCZY POLSKA LIBERALNA STRAJK PRZEDSIĘBIORCÓW";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KOMITET WYBORCZY RUCH NAPRAWY POLSKI";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"KOMITET WYBORCZY WYBORCÓW GŁOS SILNEJ POLSKI"
20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";12;24;24;27882;28497;28497;0;16530;11352;11352;0;4;11356;16;82;4;0;0;0;0;4;11356;4;0;11356;71;48;23;0;11285;4974;943;533;1235;;34;;3434;;132;
20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";12;21;21;11107;11483;11482;1;6931;4176;4175;1;0;4176;2;21;0;0;0;0;0;0;4176;0;0;4176;30;13;17;0;4146;1391;208;220;644;;11;;1620;;52;
20103;"gm. Gromadka";"bolesławiecki";"dolnośląskie";12;7;7;4020;4092;4090;2;2727;1293;1292;1;0;1293;2;3;0;0;0;0;0;0;1293;0;0;1293;12;6;6;0;1281;307;53;45;169;;2;;686;;19;
20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";12;14;14;10979;11370;11368;2;7674;3305;3303;2;1;3306;3;23;1;1;0;0;0;0;3305;0;0;3305;35;21;14;0;3270;725;130;180;548;;17;;1625;;45;
20105;"gm. Osiecznica";"bolesławiecki";"dolnośląskie";12;7;7;5004;5196;5196;0;3467;1537;1537;0;0;1537;0;11;0;0;0;0;0;0;1537;0;0;1537;18;11;7;0;1519;525;80;78;237;;6;;564;;29;
20106;"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";12;10;10;6239;6489;6487;2;4198;2041;2039;2;3;2044;2;9;2;0;0;0;0;2;2043;2;0;2043;30;21;9;0;2013;550;114;67;343;;4;;916;;19;
20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";12;22;22;21419;22118;22118;0;13428;7991;7991;0;3;7994;19;36;2;0;0;0;0;2;7993;2;1;7992;53;26;27;0;7939;3150;564;452;847;;13;;2818;;95;
20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";12;23;23;23103;23755;23754;1;13345;9758;9757;1;6;9764;13;22;4;1;0;0;0;3;9760;3;1;9759;55;33;22;0;9704;4262;628;440;1015;;23;;3244;;92;
20203;"gm. Pieszyce";"dzierżoniowski";"dolnośląskie";12;11;11;6790;6990;6988;2;4364;2426;2426;0;0;2426;3;10;0;0;0;0;0;0;2426;0;0;2426;24;9;15;0;2402;858;135;115;285;;13;;963;;33;
20204;"m. Piława Górna";"dzierżoniowski";"dolnośląskie";12;3;3;4449;4610;4609;1;3008;1441;1441;0;1;1442;1;5;1;0;0;0;0;1;1442;1;0;1442;9;6;3;0;1433;434;83;117;186;;8;;592;;13;
